Ind,PH,EH
C0C17_DH008,-9.193555319,-23.27371594
C0C17_DH010,-22.30943483,-1.380683231
C0C17_DH012,-7.802015219,-6.603190634
C0C17_DH013,-27.59941779,-24.61628422
C0C17_DH014,-14.62506374,-25.92690802
C0C17_DH015,6.106968867,-19.73928284
C0C17_DH016,-2.978263773,22.28076538
C0C17_DH017,3.651887759,-2.590843962
C0C17_DH018,-49.68775702,-30.4236613
C0C17_DH019,-31.81599376,-27.2880539
C0C17_DH020,-6.618325478,-2.446417581
C0C17_DH021,-21.34399135,-10.11656701
C0C17_DH024,-4.804469186,-9.41279701
C0C17_DH025,2.517917878,-4.062005713
C0C17_DH027,-12.05859703,-22.76148495
C0C17_DH030,11.34062309,-1.672024582
C0C17_DH033,-22.58346201,-33.98050262
C0C17_DH035,-19.08890898,-18.65004961
C0C17_DH037,-22.8024811,-8.362024088
C0C17_DH038,1.074821956,-10.23906422
C0C17_DH040,19.2937715,25.20711121
C0C17_DH041,-11.61638432,-11.49332939
C0C17_DH042,-17.41931351,-13.45388814
C0C17_DH043,6.799619936,7.834244781
C0C17_DH044,-7.196017194,-31.56494639
C0C17_DH045,-30.58782515,-20.31685301
C0C17_DH047,11.12761598,22.41022535
C0C17_DH048,-8.650827832,2.461973081
C0C17_DH049,-29.47240536,-14.01277523
C0C17_DH051,-20.89197661,-12.11752897
C0C17_DH052,9.173501191,6.605779592
C0C17_DH053,8.50991306,1.106679442
C0C17_DH056,-10.29678122,-6.485582063
C0C17_DH058,-16.22085142,-10.57233823
C0C17_DH059,12.8612128,3.636090956
C0C17_DH060,30.57181889,8.414985452
C0C17_DH061,10.22725339,-0.223255814
C0C17_DH062,8.406516693,8.798313535
C0C17_DH064,-29.64634025,-24.7666059
C0C17_DH066,-10.37745305,-5.688200681
C0C17_DH068,-3.461800409,2.929641185
C0C17_DH069,-10.20149151,-9.41016863
C0C17_DH070,-6.297297252,16.88851471
C0C17_DH071,-0.365043618,0.594592219
C0C17_DH072,0.787342434,1.53482666
C0C17_DH073,10.24809164,-21.99750041
C0C17_DH074,-3.103938345,-12.67405297
C0C17_DH076,1.977699687,-14.95715322
C0C17_DH078,-3.111002679,-19.07297174
C0C17_DH079,11.5269822,7.35459226
C0C17_DH080,5.025101959,-18.80421119
C0C17_DH081,-17.23205315,-8.63946127
C0C17_DH082,-6.7062818,-21.19958171
C0C17_DH083,-9.548566547,-9.143075475
C0C17_DH084,-26.30794897,-38.92385094
C0C17_DH085,-15.24447178,-4.239941729
C0C17_DH086,0.164077053,-7.89825552
C0C17_DH087,-12.56695201,-5.617011924
C0C17_DH088,-15.23030036,-21.23492052
C0C17_DH089,6.967507051,4.455050883
C0C17_DH090,-14.54295798,11.39155923
C0C17_DH091,-14.231434,-10.13205155
C0C17_DH092,5.917569625,-12.95470967
C0C17_DH094,-34.40535914,-36.62877862
C0C17_DH095,-18.43790346,-13.42783974
C0C17_DH096,-21.03867904,-8.493968726
C0C17_DH097,6.022684918,9.525810812
C0C17_DH100,5.031074439,4.36284944
C0C17_DH103,-10.50677799,-11.75402881
C0C17_DH104,14.44793639,1.262455082
C0C17_DH105,-15.54599001,-2.270295853
C0C17_DH106,-10.0523725,-13.15200258
C0C17_DH107,-26.27059056,-24.66372194
C0C17_DH108,-7.537339943,-1.358673997
C0C17_DH109,-5.140730879,-4.451048708
C0C17_DH112,-4.078512669,16.87233114
C0C17_DH114,0.38093692,3.698449719
C0C17_DH117,5.251921592,-10.2583147
C0C17_DH118,19.23466528,20.17992554
C0C17_DH121,-0.514330001,-8.773689704
C0C17_DH122,-3.616858122,10.67963145
C0C17_DH125,19.3719708,15.8620199
C0C17_DH126,-19.71154229,-23.61813084
C0C17_DH129,20.67310782,11.56174358
C0C17_DH130,-18.78424687,-18.74945332
C0C17_DH132,-16.29366061,-16.61917627
C0C17_DH136,-15.34105258,-11.73572817
